STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,building,Type of building,currency,Currency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2024,,1100,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2025,,1150,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2016,,400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2017,,380,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2018,,360,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2019,,420,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2020,,430,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2021,,390,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2022,,420,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2023,,480,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2024,,570,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BG_CAP,Sofia,2025,,650,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2016,,1500,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2017,,1400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2018,,1350,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2019,,1400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2020,,1450,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2021,,1350,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2022,,1500,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2023,,1500,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2024,,1700,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_CAP,Bern (Berne),2025,,1750,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2016,,1900,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2017,,1900,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2018,,1800,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2019,,1900,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2020,,1950,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2021,,1850,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2022,,2100,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2023,,2200,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2024,,2400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CH_DEL,Genève,2025,,2550,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2016,,450,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2017,,480,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2018,,620,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2019,,600,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2020,,610,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2021,,570,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2022,,620,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2023,,630,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2024,,680,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CY_CAP,Lefkosia,2025,,750,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2016,,680,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2017,,800,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2018,,910,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2019,,920,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2020,,900,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2021,,760,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2022,,980,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2023,,1150,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2024,,1150,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,CZ_CAP,Praha,2025,,1250,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2016,,930,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2017,,960,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2018,,990,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2019,,1050,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2020,,1050,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2021,,1150,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2022,,1200,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2023,,1250,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2024,,1450,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_CAP,Berlin,2025,,1350,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL1,Karlsruhe,2016,,770,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL1,Karlsruhe,2017,,790,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL1,Karlsruhe,2018,,810,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL1,Karlsruhe,2019,,830,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL1,Karlsruhe,2020,,840,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL1,Karlsruhe,2021,,850,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL1,Karlsruhe,2022,,900,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL1,Karlsruhe,2023,,910,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2016,,1150,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2017,,1250,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2018,,1350,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2019,,1350,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2020,,1350,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2021,,1400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2022,,1550,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2023,,1550,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2024,,1550,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL2,München,2025,,1650,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL3,Bonn,2016,,750,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL3,Bonn,2017,,760,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL3,Bonn,2018,,780,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL3,Bonn,2019,,790,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DE_DEL3,Bonn,2020,,800,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2016,,1200,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2017,,1350,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2018,,1400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2019,,1400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2020,,1400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2021,,1500,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2022,,1450,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2023,,1650,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2024,,1650,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,DK_CAP,København,2025,,1800,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,EE_CAP,Tallinn,2016,,540,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,EE_CAP,Tallinn,2017,,560,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,EE_CAP,Tallinn,2018,,600,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,EE_CAP,Tallinn,2019,,630,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,EE_CAP,Tallinn,2020,,560,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,EE_CAP,Tallinn,2021,,560,,,,,
